pdb_id,sample,best_plddt,random_plddt,delta_plddt_to_best_model
2bu9,pMPNN,40.41133738601823,33.76112462006079,-6.650212765957441
2cdq,pMPNN,81.08824175824175,75.51076923076924,-5.5774725274725085
2ckf,pMPNN,70.86052941176472,65.51635294117646,-5.344176470588252
2con,pMPNN,83.63060606060606,79.34787878787878,-4.282727272727271
2cs4,pMPNN,90.6658536585366,88.89756097560976,-1.768292682926841
2cu2,pMPNN,46.63977611940298,35.89798507462687,-10.741791044776114
2cz4,pMPNN,84.79515151515153,83.92545454545454,-0.8696969696969887
2daw,pMPNN,85.37936170212765,82.54659574468084,-2.83276595744681
2dc5,pMPNN,83.51,44.088452380952376,-49.42154761904763
2ddh,pMPNN,81.81375690607736,80.04839779005523,-1.7653591160221254
2dew,pMPNN,70.25082568807339,67.34330275229358,-2.9075229357798094
2dfk,pMPNN,84.43043209876544,72.04734567901235,-22.383086419753084
2dis,pMPNN,77.41145833333333,74.51145833333334,-2.8999999999999915
2dlq,pMPNN,92.89678571428573,92.64071428571428,-0.2560714285714454
2dst,pMPNN,85.53934426229509,84.36795081967213,-1.171393442622957
2dxu,pMPNN,66.74319148936169,55.04191489361703,-11.701276595744659
2efv,pMPNN,73.8719512195122,45.91548780487805,-37.95646341463415
2eve,pMPNN,55.18000000000001,49.57256756756757,-5.607432432432439
2f3l,pMPNN,88.96992424242424,86.2969696969697,-2.6729545454545445
2f62,pMPNN,74.26236842105264,51.0078947368421,-33.254473684210545
2f71,pMPNN,55.2816835016835,35.09609427609428,-30.185589225589226
2fa1,pMPNN,86.90726114649681,84.95904458598726,-1.9482165605095503
2fcw,pMPNN,92.20771428571427,91.71057142857144,-0.49714285714283335
2fe3,pMPNN,86.05099290780142,77.80999999999999,-8.240992907801427
2fe7,pMPNN,82.57910256410257,76.4946794871795,-6.084423076923073
2ffy,pMPNN,46.59379888268157,37.79790502793296,-8.795893854748606
2fh5,pMPNN,78.14457364341087,51.63635658914729,-36.508217054263575
2fiy,pMPNN,64.67220689655173,52.35203448275861,-22.320172413793117
2fj8,pMPNN,66.21406779661017,62.63220338983052,-3.581864406779644
2fp1,pMPNN,93.87715151515152,91.36575757575756,-2.511393939393969
2fr1,pMPNN,68.17315789473685,64.69167464114832,-3.4814832535885216
2fvv,pMPNN,62.17333333333335,58.37237037037038,-3.80096296296297
2fzt,pMPNN,90.72551282051282,90.55935897435896,-0.1661538461538612
2gom,pMPNN,96.91590163934428,93.5388524590164,-3.3770491803278873
2gq0,pMPNN,54.8253125,45.275976562500006,-9.549335937499997
2gtv,pMPNN,81.79732673267326,65.57227722772276,-26.22504950495049
2h84,pMPNN,72.4744859813084,41.42635514018692,-41.048130841121484
2ha9,pMPNN,56.167545454545454,39.69131818181818,-26.47622727272727
2hah,pMPNN,63.46544642857143,38.43866071428571,-35.02678571428572
2hjs,pMPNN,77.60052631578948,77.35652631578947,-0.24400000000001398
2hku,pMPNN,92.621,67.75314285714286,-34.86785714285713
2i10,pMPNN,87.16072463768117,79.65724637681161,-7.5034782608695565
2i4f,pMPNN,92.88909999999998,90.6259,-2.2631999999999834
2icy,pMPNN,63.17542168674698,40.009518072289154,-33.165903614457825
2idr,pMPNN,83.5283615819209,74.63971751412429,-8.88864406779662
2ii3,pMPNN,51.36111111111112,36.1173076923077,-25.243803418803424
2ix2,pMPNN,85.95630252100841,83.71126050420166,-2.2450420168067495
2j01,pMPNN,61.49250000000001,48.3953,-23.097200000000008
2j4b,pMPNN,94.8014503816794,93.24129770992369,-1.5601526717557164
2j5y,pMPNN,95.98056603773584,95.75339622641508,-0.22716981132076342
2j67,pMPNN,74.44000000000001,73.75771812080538,-0.6822818791946332
2jne,pMPNN,88.70197183098591,88.54845070422533,-0.15352112676058027
2km8,pMPNN,81.11172839506173,72.17679012345678,-8.934938271604949
2myg,pMPNN,88.6757894736842,87.35926315789473,-1.3165263157894742
2nmu,pMPNN,81.40294117647058,75.09404411764706,-6.3088970588235185
2nn6,pMPNN,76.88279661016949,58.84118644067796,-28.041610169491534
2np3,pMPNN,59.48092307692309,52.40384615384615,-7.0770769230769375
2nrh,pMPNN,63.8725925925926,37.85617283950617,-36.01641975308643
2nsp,pMPNN,54.48865497076023,51.8535380116959,-2.6351169590643266
2nw0,pMPNN,82.58566137566137,64.00671957671958,-28.5789417989418
2nxc,pMPNN,72.01618110236221,70.14287401574803,-1.8733070866141759
2o6k,pMPNN,92.72471428571428,71.92499999999998,-30.799714285714302
2o8p,pMPNN,95.65277272727272,94.46363636363635,-1.189136363636365
2od4,pMPNN,89.52480000000001,87.6015,-1.9233000000000118
