pdb_id,model,plddt,delta_to_best
1xwm,1,42.71466981132077,-15.328301886792431
1xwm,4,55.11051886792453,-2.932452830188666
1xwm,3,58.0429716981132,0.0
1xwm,2,45.09377358490566,-12.949198113207537
1foe,5,36.91728395061728,-3.9474691358024714
1foe,4,36.86771604938272,-3.997037037037032
1foe,1,38.74308641975309,-2.1216666666666626
1foe,2,40.86475308641975,0.0
1foe,3,40.69808641975309,-0.1666666666666643
4nsv,5,26.28352272727273,-4.285378787878788
4nsv,1,28.05814393939394,-2.5107575757575766
4nsv,4,28.28371212121212,-2.2851893939393975
4nsv,3,26.19640151515152,-4.372499999999995
4nsv,2,30.568901515151516,0.0
4dxh,2,33.18443181818182,0.0
4dxh,5,27.40892045454545,-5.775511363636372
4dxh,4,30.84392045454545,-2.34051136363637
4dxh,3,29.98710227272727,-3.1973295454545507
4dxh,1,32.72869318181818,-0.4557386363636411
2km8,1,62.58123456790125,-16.81481481481481
2km8,4,79.39604938271606,0.0
2km8,3,67.65012345679013,-11.745925925925931
2km8,5,57.65234567901236,-21.743703703703694
2km8,2,61.58728395061728,-17.80876543209878
6luo,1,59.94472527472527,-12.833846153846167
6luo,5,56.026153846153846,-16.752417582417593
6luo,3,60.49296703296703,-12.285604395604409
6luo,2,70.92615384615384,-1.8524175824176012
6luo,4,72.77857142857144,0.0
6trj,3,80.16705882352942,-1.6752941176470415
6trj,5,77.55035294117647,-4.291999999999987
6trj,2,72.26435294117647,-9.577999999999989
6trj,1,81.84235294117646,0.0
6trj,4,66.10058823529413,-15.741764705882332
5wl1,5,37.943777777777775,-0.3751666666666651
5wl1,2,36.93822222222223,-1.3807222222222109
5wl1,1,37.46155555555556,-0.8573888888888774
5wl1,4,38.31894444444444,0.0
5wl1,3,31.2245,-7.0944444444444414
2xol,5,42.94843373493976,-3.5683734939758978
2xol,1,41.84632530120482,-4.6704819277108385
2xol,3,40.8771686746988,-5.639638554216859
2xol,4,46.51680722891566,0.0
2xol,2,42.26746987951807,-4.249337349397592
5ee0,3,38.09104166666667,-0.32506944444445196
5ee0,4,37.74670138888889,-0.6694097222222339
5ee0,5,34.26979166666667,-4.146319444444451
5ee0,1,37.97197916666667,-0.44413194444445026
5ee0,2,38.41611111111112,0.0
1dmg,4,32.76008888888889,-6.827377777777784
1dmg,5,29.834044444444444,-9.753422222222227
1dmg,1,34.123377777777776,-5.464088888888895
1dmg,2,39.58746666666667,0.0
1dmg,3,30.111377777777776,-9.476088888888896
3bzc,5,59.16844444444445,-5.858000000000004
3bzc,3,61.04733333333333,-3.9791111111111235
3bzc,1,47.02022222222223,-18.00622222222222
3bzc,2,41.30011111111112,-23.72633333333333
3bzc,4,65.02644444444445,0.0
1mqv,2,71.15357723577239,-2.9729268292682605
1mqv,5,55.82821138211383,-18.29829268292682
1mqv,1,70.99024390243902,-3.13626016260163
1mqv,4,67.18243902439025,-6.9440650406504005
1mqv,3,74.12650406504065,0.0
1paq,2,79.99229813664596,-8.75192546583851
1paq,3,63.09378881987577,-25.6504347826087
1paq,1,52.50614906832298,-36.238074534161484
1paq,4,88.74422360248447,0.0
1paq,5,63.83403726708074,-24.91018633540373
2q9u,2,40.30248,0.0
2q9u,4,31.85532,-8.447160000000004
2q9u,3,26.854,-13.448480000000004
2q9u,5,26.4398,-13.862680000000001
2q9u,1,31.25576,-9.046720000000004
