,Unnamed: 0,con,dgram_cce,exp_res,fape,hard,helix,i_ptm,loss,models,pae,plddt,ptm,recycles,seq_ent,seqid,soft,temp,rmsd_io,tm_i,tm_o,tm_io,composite,names,data
TMB2.30,50,1.539804220199585,1.427342414855957,0.0107076484709978,0.3014964163303375,1.0,7.731622219085693,0.0,1.427342414855957,[0],4.032540038228035,0.9155577644705772,0.8095049262046814,3,333.691650390625,0.8617886178861789,0.0,1.0,0.7365216612815857,1.0,0.9699,0.9699,0.718839950094905,TMB2.30,TMB
TMB2.31,51,1.4391261339187622,1.517012119293213,0.0092135770246386,0.3115248084068298,1.0,8.18738079071045,0.0,1.517012119293213,[0],3.5252513960003853,0.936572588980198,0.829725980758667,3,333.691650390625,0.8699186991869918,0.0,1.0,0.9106501340866088,1.0,0.9602,0.9602,0.7461700852675361,TMB2.31,TMB
TMB2.32,52,1.7120169401168823,1.3619043827056885,0.0156870540231466,0.2929841876029968,1.0,7.181899547576904,0.0,1.3619043827056885,[0],4.7499659061431885,0.8864550292491913,0.7744019031524658,3,333.691650390625,0.8699186991869918,0.0,1.0,0.8018395900726318,1.0,0.9711,0.9711,0.6666334075662396,TMB2.32,TMB
TMB2.33,53,1.5421329736709597,1.440064787864685,0.0102236615493893,0.3076610863208771,1.0,7.619838714599609,0.0,1.440064787864685,[0],3.866641499102116,0.9228286668658257,0.8171534538269043,3,333.691650390625,0.8780487804878049,0.0,1.0,0.8619615435600281,1.0,0.9604,0.9604,0.7242305641760596,TMB2.33,TMB
TMB2.34,54,1.5231517553329468,1.5376453399658203,0.012987732887268,0.3317663073539734,1.0,7.576655387878418,0.0,1.5376453399658203,[0],3.916425958275795,0.9218929782509804,0.8128016591072083,3,333.691650390625,0.8699186991869918,0.0,1.0,0.8685145974159241,1.0,0.9587,0.9587,0.7183693855671008,TMB2.34,TMB
TMB2.35,55,1.521607518196106,1.4568965435028076,0.0122280474752187,0.312355101108551,1.0,7.6925458908081055,0.0,1.4568965435028076,[0],3.663566119968891,0.9320387989282608,0.809841513633728,3,333.691650390625,0.8699186991869918,0.0,1.0,0.792242169380188,1.0,0.9657,0.9657,0.7289139443784773,TMB2.35,TMB
TMB2.36,56,1.4888887405395508,1.4021388292312622,0.0120987528935074,0.3087912797927856,1.0,7.991569519042969,0.0,1.4021388292312622,[0],3.711602844297886,0.93030546605587,0.8079264760017395,3,333.691650390625,0.8699186991869918,0.0,1.0,0.7357411980628967,1.0,0.9715,0.9715,0.7301972919169982,TMB2.36,TMB
TMB2.37,57,1.6871522665023804,1.577211856842041,0.0111912041902542,0.3516611456871032,1.0,7.092085361480713,0.0,1.577211856842041,[0],4.437881946563721,0.8993455246090889,0.790679931640625,3,333.691650390625,0.8617886178861789,0.0,1.0,0.8562896251678467,1.0,0.96,0.96,0.6826506796024477,TMB2.37,TMB
TMB2.38,58,1.6334998607635498,1.5424892902374268,0.0155950961634516,0.3598055243492126,1.0,7.163003444671631,0.0,1.5424892902374268,[0],4.492326647043228,0.8991057574748993,0.7889000177383423,3,333.691650390625,0.8699186991869918,0.0,1.0,1.000008225440979,1.0,0.95,0.95,0.673839320619564,TMB2.38,TMB
TMB2.39,59,1.633184552192688,1.6013147830963137,0.0125973839312791,0.3740164339542389,1.0,7.343818187713623,0.0,1.6013147830963137,[0],4.076224401593208,0.9145701602101326,0.7884759902954102,3,333.691650390625,0.8699186991869918,0.0,1.0,0.9760028123855592,1.0,0.9504,0.9504,0.685349228773107,TMB2.39,TMB
TMB2.4,69,1.52730131149292,1.4872137308120728,0.010050163604319,0.3623778820037842,1.0,7.711658954620361,0.0,1.4872137308120728,[0],3.829232536256313,0.9221569299697876,0.806024432182312,3,333.691650390625,0.8699186991869918,0.0,1.0,1.276821851730347,1.0,0.9523,0.9523,0.7078265114052703,TMB2.4,TMB
TMB2.41,61,1.4152730703353882,1.4567798376083374,0.0090502751991152,0.3049235045909881,1.0,8.0400972366333,0.0,1.4567798376083374,[0],3.432667180895806,0.9418757408857346,0.8288919925689697,3,333.691650390625,0.8617886178861789,0.0,1.0,0.7944709658622742,1.0,0.9663,0.9663,0.7544032227661206,TMB2.41,TMB
TMB2.42,62,1.6541317701339722,1.4423471689224243,0.0118620032444596,0.3112289309501648,1.0,7.256463527679443,0.0,1.4423471689224243,[0],4.619686558842659,0.8905665725469589,0.7906708121299744,3,333.691650390625,0.8699186991869918,0.0,1.0,0.8780001401901245,1.0,0.9616,0.9616,0.6771058273569257,TMB2.42,TMB
TMB2.43,63,1.442101240158081,1.4128073453903198,0.0079858573153615,0.3048394918441772,1.0,8.00756549835205,0.0,1.4128073453903198,[0],3.4922342896461487,0.9371195137500764,0.8153510093688965,3,333.691650390625,0.8699186991869918,0.0,1.0,0.8220388889312744,1.0,0.9637,0.9637,0.7363451887413086,TMB2.43,TMB
TMB2.44,64,1.5192667245864868,1.7126985788345337,0.0079445512965321,0.3899764716625213,1.0,7.788129806518555,0.0,1.7126985788345337,[0],3.7868815511465073,0.9226459041237832,0.7960612773895264,3,333.691650390625,0.8699186991869918,0.0,1.0,1.2916157245635986,1.0,0.9294,0.9294,0.6826282000177347,TMB2.44,TMB
